time_s,cumulative_dist_km,speed_kmh,elevation_m
0,0.0117,4.22,0.0
10,0.0358,8.69,-2.74
20,0.0834,17.11,-0.75
30,0.1437,21.73,1.8
40,0.1998,20.18,5.11
50,0.227,9.82,3.85
60,0.241,4.45,0.55
70,0.241,0.0,0.55
80,0.241,0.0,0.55
90,0.241,0.0,0.55
100,0.241,0.0,0.55
110,0.241,0.0,0.55
120,0.241,0.0,0.55
130,0.241,0.0,0.55
140,0.241,0.0,0.55
150,0.241,0.0,0.55
160,0.241,0.0,0.55
170,0.241,0.0,0.55
180,0.2545,4.87,0.55
190,0.2853,11.08,3.43
200,0.3239,13.9,6.2
210,0.3678,15.82,7.79
220,0.4128,16.18,8.22
230,0.4559,15.54,9.75
240,0.4891,11.93,10.52
250,0.5113,8.0,12.67
260,0.5224,3.99,13.44
270,0.5395,6.16,11.45
280,0.572,12.84,10.08
290,0.6162,15.91,10.5
300,0.6545,13.77,11.39
310,0.6903,12.88,11.8
320,0.7208,10.99,13.3
330,0.7784,20.19,14.27
340,0.8383,15.43,15.85
350,0.8985,11.61,17.53
360,0.9394,14.73,19.82
370,0.9583,6.59,19.37
380,1.0001,12.61,16.22
390,1.0562,19.94,14.5
400,1.1264,25.25,13.41
410,1.1938,24.26,12.39
420,1.2546,21.89,10.71
430,1.3072,18.93,9.32
440,1.3796,26.1,8.72
450,1.4379,20.97,8.34
460,1.4988,24.35,7.83
470,1.5503,18.55,6.19
480,1.6014,18.39,7.06
490,1.6588,20.67,8.87
500,1.7163,20.71,9.65
510,1.7648,17.46,6.87
520,1.8009,12.97,5.02
530,1.8377,13.25,4.59
540,1.872,12.34,5.23
550,1.892,7.22,4.93
560,1.8995,2.7,3.27
570,1.8995,0.0,3.27
580,1.8995,0.0,3.27
590,1.8995,0.0,3.27
600,1.8995,0.0,3.27
610,1.8995,0.0,3.27
620,1.8995,0.0,3.27
630,1.8995,0.0,3.27
640,1.8995,0.0,3.27
650,1.8995,0.0,3.27
660,1.8995,0.0,3.27
670,1.8995,0.0,3.27
680,1.9076,2.91,3.27
690,1.9349,9.8,5.92
700,1.9801,16.28,8.91
710,2.002,7.88,11.81
720,2.0353,7.43,12.16
730,2.08,6.98,12.51
740,2.1362,6.54,12.86
750,2.2038,6.09,13.21
760,2.3022,25.13,12.98
770,2.4136,40.11,11.69
780,2.468,19.59,9.95
790,2.476,2.89,8.52
800,2.476,0.0,8.52
810,2.476,0.0,8.52
820,2.476,0.0,8.52
830,2.476,0.0,8.52
840,2.476,0.0,8.52
850,2.476,0.0,8.52
860,2.476,0.0,8.52
870,2.476,0.0,8.52
880,2.476,0.0,8.52
890,2.476,0.0,8.52
900,2.476,0.0,8.52
910,2.4869,3.92,8.52
920,2.5172,10.91,8.52
930,2.5644,16.99,9.06
940,2.6531,31.94,7.41
950,2.7601,38.53,5.6
960,2.8406,28.96,3.54
970,2.8756,12.61,2.65
980,2.9266,18.34,2.39
990,3.0187,33.18,3.39
1000,3.1408,43.94,1.93
1010,3.2374,34.77,1.23
1020,3.3308,33.63,2.26
1030,3.4061,27.1,5.08
1040,3.4923,31.06,6.66
1050,3.5578,23.57,8.42
1060,3.6241,26.36,7.61
1070,3.6652,14.78,6.46
1080,3.6652,0.0,6.46
1090,3.6652,0.0,6.46
1100,3.6652,0.0,6.46
1110,3.6652,0.0,6.46
1120,3.6652,0.0,6.46
1130,3.6652,0.0,6.46
1140,3.6652,0.0,6.46
1150,3.6652,0.0,6.46
1160,3.6652,0.0,6.46
1170,3.6652,0.0,6.46
1180,3.6652,0.0,6.46
1190,3.687,7.84,6.46
1200,3.7494,22.49,8.64
1210,3.8366,31.36,9.8
1220,3.9313,34.12,12.93
1230,4.0201,31.97,15.11
1240,4.1046,30.39,17.16
1250,4.1618,20.59,17.0
1260,4.2148,19.08,15.21
1270,4.2548,14.42,14.6
1280,4.2989,15.86,15.2
1290,4.3389,14.39,16.95
1300,4.4076,24.75,18.8
1310,4.4669,21.33,19.29
1320,4.5115,16.08,17.85
1330,4.5604,17.58,18.64
1340,4.644,30.13,19.49
1350,4.7417,35.15,20.81
1360,4.8218,28.85,22.57
1370,4.92,35.35,24.22
1380,5.019,35.62,24.69
1390,5.1108,33.07,25.51
1400,5.1612,18.14,26.37
1410,5.2144,19.13,26.75
1420,5.2732,21.2,25.23
1430,5.35,27.64,24.01
1440,5.4117,22.22,23.34
1450,5.4791,24.26,24.05
1460,5.5709,33.05,26.76
1470,5.6649,33.85,29.26
1480,5.7187,19.33,28.52
1490,5.7501,11.33,27.46
1500,5.7886,13.86,25.04
1510,5.8556,24.11,23.2
1520,5.9417,30.98,21.38
1530,5.9911,17.8,18.51
1540,6.0318,14.64,16.31
1550,6.1517,43.14,16.5
1560,6.3028,54.43,17.33
1570,6.4643,63.99,19.96
1580,6.613,53.55,21.19
1590,6.7912,64.15,21.18
1600,6.9503,57.29,20.48
1610,7.1346,66.34,19.34
1620,7.2919,56.6,18.46
1630,7.4447,55.02,17.71
1640,7.5602,41.58,14.82
1650,7.7031,51.43,10.7
1660,7.8405,49.48,8.05
1670,7.973,47.68,7.32
1680,8.0909,42.45,8.68
1690,8.2029,40.33,11.04
1700,8.2951,33.19,12.95
1710,8.3918,34.81,13.88
1720,8.5075,41.67,14.21
1730,8.6339,45.5,12.62
1740,8.7262,33.24,11.07
1750,8.8013,27.01,9.94
1760,8.8545,19.16,8.72
1770,8.9332,28.33,7.59
1780,8.995,22.24,5.35
1790,9.0299,12.56,2.39
